model,A_n,A_hit,A_ci,A_top30,B_n,B_hit,B_ci,B_top30,B_brier,C_n,C_hit,C_ci
linear_ar10_ols,3682,51.0,49.3-52.6,51.4,600,52.5,48.5-56.5,51.7,0.2508,116,58.6,49.5-67.2
logit_price,3682,51.2,49.6-52.8,52.1,600,52.3,48.3-56.3,49.4,0.2506,116,51.7,42.7-60.6
rule_brent_lead,3682,51.1,49.5-52.7,51.1,600,52.0,48.0-56.0,52.0,0.4705,116,54.3,45.3-63.1
gbm_lgbm_reg_all,3682,51.9,50.3-53.5,51.2,600,52.0,48.0-56.0,48.9,0.2551,116,46.6,37.7-55.6
logit_all_recent5y,3682,53.5,51.9-55.1,55.0,600,51.7,47.7-55.6,49.4,0.2657,116,50.9,41.9-59.8
logit_all_l1,3682,53.2,51.5-54.8,56.8,600,51.5,47.5-55.5,50.6,0.2519,116,50.9,41.9-59.8
gbm_lgbm_price,3682,52.0,50.3-53.6,52.6,600,51.2,47.2-55.1,45.6,0.2552,116,42.2,33.6-51.3
linear_ols_all,3682,52.7,51.0-54.3,52.5,600,50.7,46.7-54.7,52.2,0.2555,116,43.1,34.5-52.2
rf_depth3_price,3682,50.1,48.5-51.7,50.1,600,50.3,46.3-54.3,44.4,0.2511,116,41.4,32.8-50.5
logit_all,3682,54.6,53.0-56.2,56.6,600,50.2,46.2-54.2,53.9,0.254,116,47.4,38.6-56.4
rule_reversal_1d,3681,51.2,49.6-52.8,51.2,600,50.0,46.0-54.0,50.0,0.4901,116,44.8,36.1-53.9
rule_persist_1d,3681,48.7,47.1-50.3,48.7,600,49.8,45.8-53.8,49.8,0.4917,116,55.2,46.1-63.9
rule_mom20,3662,51.7,50.1-53.3,51.7,600,49.8,45.8-53.8,49.8,0.4917,116,54.3,45.3-63.1
logit_lags,3682,51.1,49.5-52.7,51.9,600,49.8,45.8-53.8,47.2,0.251,116,49.1,40.2-58.1
rule_always_up,3682,52.4,50.8-54.1,52.4,600,49.5,45.5-53.5,49.5,0.2502,116,53.4,44.4-62.3
gbm_lgbm_all_recent5y,3682,51.4,49.8-53.1,54.6,600,49.3,45.3-53.3,54.4,0.2609,116,50.0,41.0-59.0
gbm_lgbm_all,3682,53.0,51.4-54.6,53.8,600,49.2,45.2-53.2,50.0,0.2564,116,53.4,44.4-62.3
rule_mom5,3677,49.8,48.2-51.4,49.8,600,48.3,44.4-52.3,48.3,0.5064,116,55.2,46.1-63.9
